experiment,best_value,best_params
1,14679.348650994763,"[0.55548837 0.72013166 0.99001676 0.37499726 0.13963428 2.04157462
 1.16924146]"
2,15511.349847942307,"[ 0.20495982  0.29258495  0.98551723  0.02914397  0.57795139 17.52292112
  2.71833513]"
3,16361.353220165569,"[5.68606203e-01 5.11386530e-01 1.53975448e-01 3.64445582e-01
 1.06831429e-01 9.99588552e+03 2.86217953e+01]"
4,17315.356974480088,"[2.40770201e-02 7.61778091e-01 6.77531445e-01 7.16213405e-02
 6.84255697e-01 9.99154524e+03 1.09270587e+01]"
5,18248.36368965657,"[7.26075823e-02 1.54269834e-01 5.95035307e-01 5.16683938e-02
 5.96276333e-01 9.99704177e+03 1.89324223e+00]"
6,19242.36470774055,"[0.76875783 0.47467623 0.68157265 0.55269677 0.92788442 3.32528897
 1.94888585]"
7,20131.368595196327,"[2.73816656e-01 7.58808185e-01 7.25330702e-01 1.49542871e-01
 2.29051442e-01 9.55003567e+03 3.39443756e+01]"
8,21080.36910391835,"[0.18810819 0.59866315 0.22947099 0.45035805 0.322136   1.88561703
 5.46104419]"
9,21945.3717487355,"[1.41403846e-01 9.92308294e-01 8.83931558e-01 6.37138693e-01
 4.01699256e-01 9.99778512e+03 3.66895447e+01]"
10,22928.37240940526,"[ 0.50884973  0.55468537  0.61542454  0.11623465  0.3913152   0.89872858
 18.37301585]"
